Naziv,cena,kraj_ogleda,barva,notranjost,st.vrat,oblika,menjalnik,gorivo,novo/rabljeno,prevozeni_km,leto_1.reg,mesec_1.reg,mocKW,mocKM
Renault Megane GT-LINE Bose Edition dCi 130 Energy, 4.950 €,4270 Jesenice,modra,/ delno usnje,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno,218240,2013,1,96 kW ,131 KM
Renault Megane INTENS TCe 140 •Slovenski•1. Lastnik letnik:2022, 18.990 €,DEČKOVA CESTA 43,bela metalik,črna / alcantara,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),bencinski motor,rabljeno / ima jamstvo,45139,2022,1,103 kW ,140 KM
Renault Megane Blue dCi 115 Zen...SLO. VOZILO...ODLICEN...., 11.990 €,Kamniška cesta 22,bela,/ blago,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno / ima jamstvo,110000,2020,3,85 kW ,116 KM
Renault Megane 1.5DCI 110 DYNAMIQUE, 7.490 €,Hajdoše 19,temno siva metalik,temno siva / delno usnje,2 vr.,cabriolet,ročni menjalnik (6 pr.),diesel motor,rabljeno,113000,2012,5,81 kW ,110 KM
Renault Megane 1.6 16V •Narejeni glavni servis•Slovenski•, 2.940 €,Ulica 16 maja 9,metalik,črna / blago,3 vr.,coupe,ročni menjalnik (6 pr.),bencinski motor,rabljeno,187109,2009,7,81 kW ,110 KM
Renault Megane 1.6 SLO-97.000KM-KLIMA-TEMPOMAT-LED -BLUETOOTH, 9.590 €,MENGEŠKA CESTA 65,temno modra metalik,/ blago,4 vr.,limuzina,ročni menjalnik (6 pr.),bencinski motor,rabljeno,97010,2017,7,84 kW ,114 KM
Renault Megane Grandtour estate business dci 95, 6.000 €,6000 Koper/Capodistria,črna metalik,črna / delno usnje,5 vr.,karavan,ročni menjalnik (6 pr.),diesel motor,rabljeno,182000,2015,12,70 kW ,95 KM
Renault Megane Energy dCi-ZEN-NAVI-PDC-LED-, 10.990 €,P.E.CESTA KOZJANSKEGA ODREDA 74,bela,črna / blago,5 vr.,kombilimuzina/hatchback,ročni menjalnik (6 pr.),diesel motor,rabljeno,109056,2017,2,66 kW ,90 KM
Renault Megane RS-265-ODLIČEN-VELIKI SERVIS-NAV-EL.SED-UMBRELLA , 13.799 €,Cesta na Brdo 49,bela,svetlo siva / usnje,3 vr.,coupe,ročni menjalnik (6 pr.),bencinski motor,rabljeno,184000,2013,11,195 kW ,265 KM
Renault Megane SW BluedCi 115 EDC-LED-MODIFICIRAN-KAMERA-2xPDC-, 12.990 €,P.E. Gallusova ulica 1,bela,črna / delno usnje,5 vr.,karavan,avtomatski menjalnik,diesel motor,rabljeno / ima garancijo,126605,2021,5,85 kW ,116 KM
